Time,IronAvgP,SteelAvgP
2019-09-13T21:38:37-04:00,1191,3082
2019-09-13T22:04:32-04:00,1194,2911
2019-09-13T22:19:32-04:00,1198,2983
2019-09-13T22:34:21-04:00,1182,2953
2019-09-13T22:49:34-04:00,1184,4153
2019-09-13T23:13:07-04:00,1197,2985
2019-09-13T23:42:13-04:00,1188,2900
2019-09-13T23:57:12-04:00,1131,2511
2019-09-14T00:12:09-04:00,1161,2895
2019-09-14T00:27:10-04:00,1161,2925
2019-09-14T00:42:06-04:00,1244,2932
2019-09-14T00:57:17-04:00,1267,2906
2019-09-14T01:12:13-04:00,1267,2892
2019-09-14T01:27:32-04:00,1267,2899
2019-09-14T01:42:10-04:00,1267,2951
2019-09-14T01:57:08-04:00,1267,2970
2019-09-14T02:12:15-04:00,1267,2973
2019-09-14T02:27:12-04:00,1281,2974
2019-09-14T02:42:14-04:00,1273,2974
2019-09-14T02:57:12-04:00,1280,2971
2019-09-14T03:12:08-04:00,1283,2974
2019-09-14T03:27:09-04:00,1247,2978
2019-09-14T03:42:08-04:00,1247,2978
2019-09-14T03:57:10-04:00,1228,2973
2019-09-14T04:12:10-04:00,1227,2963
2019-09-14T04:27:15-04:00,1208,2972
2019-09-14T04:42:11-04:00,1133,2974
2019-09-14T04:57:12-04:00,1181,2955
2019-09-14T05:12:05-04:00,1181,2617
2019-09-14T05:27:07-04:00,1227,2837
2019-09-14T05:42:11-04:00,1272,2927
2019-09-14T05:57:16-04:00,1272,2927
2019-09-14T06:12:18-04:00,1272,2850
2019-09-14T06:27:20-04:00,1258,2850
2019-09-14T06:42:12-04:00,1258,2524
2019-09-14T06:57:11-04:00,1258,2524
2019-09-14T07:12:09-04:00,1271,2819
2019-09-14T07:27:07-04:00,1271,2904
2019-09-14T07:42:12-04:00,1238,2808
2019-09-14T07:57:13-04:00,1288,2971
2019-09-14T08:12:15-04:00,1288,2960
2019-09-14T08:27:11-04:00,1288,2935
2019-09-14T08:42:11-04:00,1288,2898
2019-09-14T08:57:07-04:00,1288,2898
2019-09-14T09:12:13-04:00,1288,2898
2019-09-14T09:27:11-04:00,1284,2864
2019-09-14T09:42:12-04:00,1284,2874
2019-09-14T09:57:15-04:00,1255,2859
2019-09-14T10:12:18-04:00,1255,2871
2019-09-14T10:27:08-04:00,1255,2872
2019-09-14T10:42:05-04:00,1255,2821
2019-09-14T10:57:04-04:00,1175,2872
2019-09-14T11:12:11-04:00,1135,2872
2019-09-14T11:27:10-04:00,1161,2872
2019-09-14T11:42:06-04:00,1169,2872
2019-09-14T11:57:09-04:00,1169,2872
2019-09-14T12:12:14-04:00,1169,2873
2019-09-14T12:27:08-04:00,1117,2872
2019-09-14T12:42:10-04:00,1117,2872
2019-09-14T12:57:13-04:00,1117,2801
2019-09-14T13:12:12-04:00,1117,2870
2019-09-14T13:27:12-04:00,1112,2871
2019-09-14T13:42:23-04:00,1142,2699
2019-09-14T14:01:33-04:00,1103,2787
2019-09-14T14:16:37-04:00,1306,2847
2019-09-14T14:31:42-04:00,1306,2765
2019-09-14T14:46:37-04:00,1212,2793
2019-09-14T15:01:41-04:00,1212,2809
2019-09-14T15:16:41-04:00,1212,2874
2019-09-14T15:31:34-04:00,1226,2833
2019-09-14T15:46:41-04:00,1192,2853
2019-09-14T16:01:31-04:00,1192,2868
2019-09-14T16:16:36-04:00,1185,2870
2019-09-14T16:31:34-04:00,1209,2875
2019-09-14T16:46:40-04:00,1209,2891
2019-09-14T17:01:35-04:00,1160,2898
2019-09-14T17:16:41-04:00,1160,2898
2019-09-14T17:31:41-04:00,1160,2898
2019-09-14T17:46:42-04:00,1114,2889
